sep=,
File.......:   - AUG;23.2025
System.....:  
Potential..:  -1.1425V
Current....:  -12.792uA; Ampl: 50mA
Temperature:  0.2+-1.2C
Time.......:  22:14:46 - 22:20:03
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples
Lines:   72
Columns: 7
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s,Voltage/V,Current/A
41,1.0472e+03,5.7897e-03,-9.82,0.996,44.6,-1.1364,-1.256e-05
42,8.3376e+02,5.9781e-03,-11.18,0.997,45.6,-1.1364,-1.256e-05
43,6.6381e+02,6.0654e-03,-12.20,0.995,46.6,-1.1364,-1.256e-05
44,5.2850e+02,6.3947e-03,-14.42,0.995,47.7,-1.1365,-1.256e-05
45,4.2077e+02,6.5543e-03,-15.80,0.986,49.6,-1.1366,-1.256e-05
46,3.3500e+02,6.9135e-03,-17.18,0.998,51.9,-1.1366,-1.256e-05
47,2.6672e+02,7.1983e-03,-19.16,0.996,53.7,-1.1366,-1.256e-05
48,2.1235e+02,7.5989e-03,-20.31,0.987,55.6,-1.1367,-1.256e-05
49,1.6907e+02,7.9893e-03,-20.91,0.995,57.4,-1.1367,-1.256e-05
50,1.3460e+02,8.8263e-03,-21.90,0.997,59.3,-1.1368,-1.256e-05
51,1.0717e+02,9.3769e-03,-21.52,0.997,61.1,-1.1368,-1.256e-05
52,8.5322e+01,1.0067e-02,-21.83,0.999,63.1,-1.1369,-1.256e-05
53,6.7930e+01,1.0722e-02,-21.85,0.998,65.1,-1.1369,-1.256e-05
54,5.3910e+01,1.1482e-02,-20.74,0.998,67.2,-1.1370,-1.256e-05
55,4.2416e+01,1.2121e-02,-19.91,0.998,69.3,-1.1370,-1.256e-05
56,3.3064e+01,1.2845e-02,-18.47,0.993,71.6,-1.1371,-1.256e-05
57,2.5518e+01,1.3492e-02,-17.33,0.996,74.0,-1.1371,-1.256e-05
58,1.9484e+01,1.4050e-02,-16.43,0.996,76.6,-1.1369,-1.256e-05
59,1.4705e+01,1.4553e-02,-15.44,0.998,79.4,-1.1374,-1.256e-05
60,1.0960e+01,1.5100e-02,-15.08,0.999,82.5,-1.1374,-1.256e-05
61,8.0607e+00,1.5607e-02,-15.59,0.999,86.1,-1.1374,-1.256e-05
62,5.8439e+00,1.6226e-02,-16.63,0.999,90.2,-1.1373,-1.256e-05
63,4.1726e+00,1.7047e-02,-18.81,0.999,95.0,-1.1378,-1.256e-05
64,2.9318e+00,1.8244e-02,-21.82,1.000,100.8,-1.1381,-1.256e-05
65,2.0259e+00,2.0249e-02,-25.80,0.999,107.9,-1.1377,-1.256e-05
66,1.3761e+00,2.3341e-02,-29.31,0.999,119.1,-1.1387,-1.256e-05
67,9.1901e-01,2.8199e-02,-30.89,0.999,132.7,-1.1392,-1.256e-05
68,6.0383e-01,3.4247e-02,-29.10,0.999,149.7,-1.1396,-1.256e-05
69,3.9094e-01,4.0255e-02,-25.13,0.999,172.0,-1.1405,-1.256e-05
70,2.5002e-01,4.5248e-02,-20.75,0.998,201.2,-1.1410,-1.256e-05
71,1.5849e-01,4.9437e-02,-17.57,0.997,241.6,-1.1416,-1.256e-05
72,1.0000e-01,5.3651e-02,-15.77,0.997,295.5,-1.1430,-1.256e-05

