Step number,Repeats,Step name,Elapsed Time  (s),DC Working Electrode (V),DC Current (A),Frequency (Hz),|Z| (Ohms),Phase (deg),Z' (Ohms),-Z" (Ohms),THD (%),Amplitude (A),Amplitude (V),No of Cycles,Duration of Each Frequency (s)
2,1,Potentiostatic EIS,9.76477713000001,0.000108366846689023,3.66809942420332e-08,5011.86572265625,335.403712765367,-70.9368053342844,109.546481873693,317.009808753435,0.0701016825448212,2.96387419002297e-05,0.0099409440750315,153,0.0305275537028776
2,1,Potentiostatic EIS,9.84397849,9.85904043773189e-05,3.70034527463758e-08,3981.06640625,415.432079595421,-73.7924077512246,115.954717364328,398.92144123616,0.0752824261029337,2.40280393482562e-05,0.00998201835504667,122,0.030645055256669
2,1,Potentiostatic EIS,9.92339657,0.000102977603091858,3.71281743127838e-08,3162.27099609375,516.686720917344,-76.0074090318925,124.933000772092,501.35507665765,0.129006315056457,1.9340393064424e-05,0.00999292427370976,97,0.0306741579452934
2,1,Potentiostatic EIS,10.047312,0.000103145503089763,-5.49614114220276e-08,2511.8818359375,646.111312389383,-77.4301505921565,140.612983534796,630.624941513555,0.094838569316098,1.54680242703267e-05,0.00999406546137159,77,0.0306543082156019
2,1,Potentiostatic EIS,10.12712525,0.000108837950392626,-5.55097230403589e-08,1995.25964355469,809.309623073486,-78.3507984639279,163.41501922705,792.639639111224,0.122032023896348,1.2390418120197e-05,0.0100276846185796,61,0.0305724621840817
2,1,Potentiostatic EIS,10.20672648,0.000108511434518732,-5.43801945696032e-08,1584.88989257813,1013.55805712886,-78.6424503852105,199.601006077928,993.709904118655,0.151555070190753,9.88898206756145e-06,0.0100230574513797,48,0.0302860155931204
2,1,Potentiostatic EIS,10.28546214,0.000113244590465911,-5.42239035894454e-08,1258.92407226563,1270.300957695,-78.3014752372582,257.568867593787,1243.91430636009,0.11138035411217,7.65141529709164e-06,0.00971960017961771,38,0.030184505036601
2,1,Potentiostatic EIS,10.40860227,0.000108199965325184,1.06688151646495e-08,999.998901367188,1590.1806530034,-77.348921242039,348.270516935413,1551.57408982615,0.184111298422879,6.16704963471726e-06,0.00980672301523906,30,0.0300000329590206
2,1,Potentiostatic EIS,10.48831714,0.000108648629975505,1.13985034744246e-08,794.327941894531,1987.18894506861,-75.7674119307598,488.567763688181,1926.19351148518,0.211865993428883,4.96728616565308e-06,0.00987093615537803,24,0.0302142210215572
2,1,Potentiostatic EIS,10.56769882,2.96460493700579e-05,1.2246334613053e-08,630.956481933594,2471.57035598002,-73.5032341306204,701.830139764882,2369.8300528681,0.175328749907602,4.01408744584708e-06,0.00992109953746722,19,0.0301130118225803
2,1,Potentiostatic EIS,10.64671308,9.93525463854894e-05,1.17467102711544e-08,501.186889648438,3058.35747414561,-70.5337467734093,1019.20249954262,2883.53545228568,0.209723738439069,3.11384829379014e-06,0.00952326120266864,15,0.0299289552656134
2,1,Potentiostatic EIS,10.72601107,0.000109071857878007,1.11039053507511e-08,398.10693359375,3747.55666857982,-66.6891725034558,1482.97959967856,3441.64967583197,0.385227280220479,2.59007975525601e-06,0.00970647065896326,12,0.0301426551195048
2,1,Potentiostatic EIS,10.8076744,0.000110386739834212,1.16846656794678e-08,316.227661132813,4530.41368526631,-62.0100304582603,2126.20008157869,4000.49014156303,0.514213167826055,2.16731165752463e-06,0.0098188183934868,9,0.0284605083810808
2,1,Potentiostatic EIS,10.88819445,0.000103390120784752,1.17343779137968e-08,251.188613891602,5398.11474807723,-56.6101871600483,2970.75688265295,4507.13283336302,0.160156991235018,1.83413361183333e-06,0.00990086369998164,8,0.0318485773541166
2,1,Potentiostatic EIS,10.97696478,0.000104938648291864,1.2168372975907e-08,199.525680541992,6290.70428151644,-50.5451208613372,3997.55613258063,4857.21168206166,0.425354815560321,1.58167078231364e-06,0.00994982316224988,8,0.0400950894053777
2,1,Potentiostatic EIS,11.14062736,0.000107823478174396,3.13795345263657e-09,158.489273071289,7138.31905967143,-44.1699753913978,5120.14382417946,4973.90452435362,0.584200524437773,1.40042508565147e-06,0.00999668108054791,8,0.050476602264442
2,1,Potentiostatic EIS,11.25313126,0.000112339752377011,3.27537197364336e-09,125.89225769043,7897.20696784401,-37.7711207288792,6242.4565503011,4837.1080317238,0.144693430734066,1.26599122030567e-06,0.00999779468622726,8,0.0635464018738315
2,1,Potentiostatic EIS,11.38275495,0.000110337059595622,2.60663957085683e-09,100.000030517578,8522.64702754612,-31.6633071910129,7254.02930523598,4473.76476749932,0.149570544901742,1.17504246688471e-06,0.0100144721876354,8,0.0799999755859449
2,1,Potentiostatic EIS,11.53356311,0.000101030236692168,2.74143063805354e-09,79.4327239990234,9000.14106317329,-26.1367856681491,8079.83106363051,3964.70290692878,0.531457209597853,1.11352705158934e-06,0.0100219005419635,8,0.100714159067469
2,1,Potentiostatic EIS,11.71217759,0.000103603801107965,2.88677126647485e-09,63.0956497192383,9353.15247086237,-21.5334829392583,8700.332642572,3433.02680615736,0.300936682458761,1.07196922948869e-06,0.0100262916474806,8,0.126791625660378
2,1,Potentiostatic EIS,11.926499,0.000111069137346931,3.35190231126603e-09,50.1186141967773,9593.58739407642,-17.1989524352515,9164.5983195084,2836.73346119193,0.347308356868735,1.0249710969609e-06,0.00983314979509677,8,0.159621332876247
2,1,Potentiostatic EIS,12.18997976,0.000116752533358522,2.99035507467238e-09,39.810676574707,9751.96152434988,-13.8489614711648,9468.47287312364,2334.26113006283,0.495028118430175,1.01219372488217e-06,0.00987087426023931,8,0.200951118853445
2,1,Potentiostatic EIS,12.34187785,0.000145605765283108,4.7604571395965e-09,31.622766494751,9860.39121131441,-11.0693528037455,9676.94358811698,1893.16603407306,0.632182384287942,1.01578722384906e-06,0.0100160465310273,2,0.0632455734172397
2,1,Potentiostatic EIS,12.50413459,0.000116922106826678,1.34413979946402e-09,25.1187877655029,9935.07949764141,-8.81705306250116,9817.67471775309,1522.84856793004,0.640612561069438,9.82437034313893e-07,0.00976046162121607,2,0.0796216767572962
2,1,Potentiostatic EIS,12.70507035,0.000114153488539159,1.39001180010645e-09,19.9525852203369,9971.38029218131,-7.05608147574795,9895.86094376117,1224.89228630276,0.569789448144568,9.87802096230233e-07,0.0098497339030143,2,0.100237637274265
2,1,Potentiostatic EIS,12.95281757,0.000122298471978866,2.31371188874618e-09,15.8488998413086,9996.43065345957,-5.59073791145354,9948.87924864831,973.872427600895,0.553247402424139,9.91863202605658e-07,0.00991506433208525,2,0.126191724348412
2,1,Potentiostatic EIS,13.26029395,0.000133212903165258,3.9901321136071e-09,12.589225769043,10018.6318481263,-4.45737607521516,9988.32975242977,778.622414921261,0.557151151375133,9.93826885545908e-07,0.00995679025141631,2,0.158866004684579
2,1,Potentiostatic EIS,13.64282473,0.000134916583192535,3.85691278914635e-09,9.99998474121094,10030.3889854345,-3.54619718662408,10011.1833078391,620.412746460895,0.55638769961838,9.94252152605163e-07,0.00997273127274203,2,0.200000305176247
2,1,Potentiostatic EIS,14.11892281,0.000123687685118057,2.95124125138102e-09,7.94327640533447,10037.9533523282,-2.82932990889951,10025.7170882882,495.483974638827,0.5412899015395,9.94983157882038e-07,0.0099875925509166,2,0.251785270704776
2,1,Potentiostatic EIS,14.71213787,0.000120251410407946,2.41376707510454e-09,6.30957412719727,10039.3942306241,-2.24024777984946,10031.721162925,392.437290802936,0.538045444933257,9.95680058008115e-07,0.00999602677479633,2,0.316978604210235
2,1,Potentiostatic EIS,15.4170924,0.00012648687697947,2.85896306628786e-09,5.0118613243103,10042.5813099421,-1.77592521752412,10037.7575612486,311.227422307047,0.548578717699795,9.9637272358512e-07,0.0100061551273459,2,0.399053339783943
2,1,Potentiostatic EIS,16.30355871,0.000115046030259691,2.02889477440849e-09,3.98106288909912,10049.0226819439,-1.40726055779194,10045.9917529347,246.792548897738,0.0729678468863026,9.96709430293689e-07,0.0100159571469351,2,0.50237839886337
2,1,Potentiostatic EIS,17.46814179,0.000121329532703385,2.29505470183966e-09,3.16226768493652,10047.8279882934,-1.13102293188073,10045.8703806617,198.331987526774,0.0672141215111683,9.96981165248823e-07,0.0100174955152552,2,0.63245752708634
2,1,Potentiostatic EIS,18.93056955,0.00012703389802482,3.37103989167531e-09,2.51188230514526,10047.1655190033,-0.904377779963358,10045.9139377588,158.581592227692,0.0579258605252182,9.97206019968801e-07,0.0100190961703881,2,0.796215649078486
2,1,Potentiostatic EIS,20.76870051,0.000122045865282416,2.61629462539048e-09,1.99526083469391,10041.8083653293,-0.713562925093471,10041.0296197226,125.057674096241,0.0590893287000735,9.97649565169817e-07,0.0100182051237428,2,1.00237521091162
2,1,Potentiostatic EIS,23.0782985,0.000125251535791904,2.67872357628818e-09,1.58489120006561,10048.4224548796,-0.5584438657892,10047.9451693843,97.9372491739003,0.0755173617903931,9.96948560951604e-07,0.0100177619294038,2,1.26191627533625
2,1,Potentiostatic EIS,25.98325936,0.000131982305902056,3.24059745704375e-09,1.2589225769043,10051.8723742259,-0.437762665770143,10051.5789830597,76.7995770706754,0.0575493585467682,9.96677324203795e-07,0.0100184738203118,2,1.58866004684579
2,1,Potentiostatic EIS,29.63476522,0.000120414712000638,2.4666585440869e-09,0.999997973442078,10048.9226306174,-0.327723788283648,10048.7582468268,57.4781085648867,0.0537090591427468,9.97771986746808e-07,0.0100265335861789,2,2.00000405312406
